id,location_region_name,location_city_name,location_district_name,last_refresh_time,price_usd,land_area,Land_for_garden,Land_for_construction,Industrial_land,Agricultural_land,Price_per_sotix
54165539,Ташкентская область,Ташкент,Чиланзарский район,2024-05-24,63000.0,600,0,1,0,0,63000.0
55604629,Ташкентская область,Ташкент,Яшнабадский район,2025-01-08,138000.0,3,0,0,0,0,46000.0
57909193,Ташкентская область,Зангиата,0,2025-03-29,11500.0,7,0,1,0,0,11500.0
56637749,Ташкентская область,Кибрай,0,2024-12-26,,20,0,0,0,0,
55466742,Ташкентская область,Янгиюль,0,2024-09-22,26500.0,6,1,0,0,0,26500.0
54319038,Ташкентская область,Назарбек,0,2024-05-12,80000.0,2,0,1,0,0,40000.0
43912098,Ташкентская область,Келес,0,2024-12-01,6000.0,25,0,1,0,0,6000.0
53993000,Ташкентская область,Келес,0,2024-04-22,18000.0,4,0,1,0,0,18000.0
56159885,Ташкентская область,Ташкент,Сергелийский район,2024-10-10,18000.0,12,0,1,0,0,18000.0
55814303,Ташкентская область,Ташкент,Яккасарайский район,2024-08-18,1000000.0,10,0,1,0,0,100000.0
60161885,Ташкентская область,Ангрен,0,2025-06-11,27000.0,11,1,0,0,0,27000.0
50051936,Ташкентская область,Ташкент,Бектемирский район,2024-07-01,30000.0,5,1,0,0,0,30000.0
49278477,Ташкентская область,Ташкент,Сергелийский район,2024-10-15,14000.0,16,0,1,0,0,14000.0
51435560,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-09-07,50000.0,160,0,1,0,0,50000.0
48178049,Ташкентская область,Ташкент,Яшнабадский район,2024-06-05,48000.0,3,0,1,0,0,48000.0
53783512,Ташкентская область,Аккурган,0,2024-05-10,1200.0,6,0,0,0,1,1200.0
50197968,Ташкентская область,Кибрай,0,2024-09-05,34500.0,15,0,1,0,0,34500.0
58324196,Ташкентская область,Ташкент,Шайхантахурский район,2025-02-12,58000.0,20,0,1,0,0,58000.0
55100127,Ташкентская область,Ташкент,Алмазарский район,2024-07-18,250000.0,366,0,1,0,0,683.0
56386332,Ташкентская область,Зангиата,0,2024-10-26,86000.0,2,0,0,0,0,43000.0
56957447,Ташкентская область,Ташкент,Бектемирский район,2025-02-03,44000.0,8,1,0,0,0,44000.0
59190579,Ташкентская область,Ташкент,Юнусабадский район,2025-04-16,390000.0,13,0,1,0,0,30000.0
55727011,Ташкентская область,Паркент,0,2025-01-05,72000.0,18,0,1,0,0,4000.0
49359984,Ташкентская область,Ташкент,Юнусабадский район,2024-09-11,25000.0,5,1,0,0,0,25000.0
52597756,Ташкентская область,Нурафшан (Тойтепа),0,2024-06-10,4200.0,4,0,1,0,0,4200.0
51357594,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-07-15,30000.0,63,0,1,0,0,30000.0
54655661,Ташкентская область,Ташкент,Сергелийский район,2024-06-16,23000.0,5,0,1,0,0,23000.0
54508592,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-05-23,30000.0,7,0,1,0,0,30000.0
49925740,Ташкентская область,Ташкент,Мирабадский район,2025-03-21,130000.0,6,0,1,0,0,21667.0
54901518,Ташкентская область,Ташкент,Юнусабадский район,2024-11-16,60000.0,2,1,0,0,0,60000.0
55424657,Ташкентская область,Ташкент,Мирабадский район,2024-07-23,36000.0,6,0,1,0,0,36000.0
53794085,Ташкентская область,Кибрай,0,2024-05-14,32000.0,8,0,1,0,0,32000.0
55574442,Ташкентская область,Ташкент,Алмазарский район,2024-11-08,20000.0,6,0,1,0,0,20000.0
58506025,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2025-06-06,50000.0,101,0,1,0,0,50000.0
53436925,Ташкентская область,Ангрен,0,2024-12-16,,13,0,0,0,0,
50548776,Ташкентская область,Ташкент,Мирабадский район,2024-05-15,3900000.0,52,0,1,0,0,75000.0
53927747,Ташкентская область,Назарбек,0,2024-08-17,110000.0,500,0,1,0,0,220.0
56572372,Ташкентская область,Ташкент,Бектемирский район,2025-04-02,,17,0,1,0,0,
54892791,Ташкентская область,Назарбек,0,2024-08-10,120000.0,12,0,1,0,0,10000.0
60051923,Ташкентская область,Нурафшан (Тойтепа),0,2025-06-02,4000.0,6,0,1,0,0,4000.0
54785636,Ташкентская область,Ташкент,Яккасарайский район,2024-07-17,620000.0,4,0,0,0,0,155000.0
56291534,Ташкентская область,Зангиата,0,2024-09-19,39000.0,4,0,1,0,0,39000.0
52021289,Ташкентская область,Аккурган,0,2024-09-29,80000.0,100,0,0,0,1,800.0
54253990,Ташкентская область,Кибрай,0,2024-06-27,420000.0,14,0,1,0,0,30000.0
56538133,Ташкентская область,Ташкент,Яккасарайский район,2025-03-20,,780,0,1,0,0,
54640792,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-10-21,50000.0,100,0,1,0,0,50000.0
55068912,Ташкентская область,Кибрай,0,2024-07-30,64000.0,4,0,1,0,0,64000.0
51470693,Ташкентская область,Назарбек,0,2025-05-05,7000.0,4,0,1,0,0,7000.0
53689870,Ташкентская область,Ташкент,Алмазарский район,2024-10-10,18000.0,15,0,0,0,0,18000.0
56549746,Ташкентская область,Ташкент,Яккасарайский район,2024-10-15,600000.0,6,0,1,0,0,100000.0
54380590,Ташкентская область,Ташкент,Яккасарайский район,2024-05-23,81000.0,7,0,1,0,0,11571.0
52182433,Ташкентская область,Мирабад,0,2024-08-22,135000.0,7,0,1,0,0,19286.0
52098886,Ташкентская область,Искандар,0,2024-04-06,101000.0,29,0,1,0,0,3483.0
52164505,Ташкентская область,Кибрай,0,2024-10-31,32000.0,6,0,1,0,0,32000.0
